,iteration,median_filter_window_dart_bite,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,1,0.12479738570559762,0.3771114380404237,0.5525081178868406,0.2506467169882641
1,0,3,0.13274370407519373,0.3773171086174117,0.5524595553351633,0.25182991107979064
2,0,5,0.13515196948822442,0.377342593335548,0.5529695869749295,0.25238092113396393
3,0,7,0.13701945737511992,0.377574017844406,0.5528427067294884,0.25296401666785495
4,0,9,0.13832595737698652,0.3776645961765592,0.5510134126015116,0.2529298913074183
5,0,11,0.1387353984076146,0.37779110170629976,0.5504371368697109,0.25276463315004316
6,0,13,0.13995265046177424,0.37793864650524245,0.5510134126015116,0.2532329698056504
7,0,15,0.14000867084419572,0.377859914421323,0.5510898476329872,0.2538479844017124
8,0,17,0.1418974464072144,0.3780140889885802,0.5514194776417797,0.25346957448920726
9,0,19,0.14153684013186724,0.37814189999206144,0.5508431376755375,0.25307166713340695
10,0,21,0.1402285458650981,0.37840503469671927,0.5507186505299602,0.25521134194450923
11,0,23,0.1406450072981941,0.37864363268668644,0.5501400660151508,0.254938871618648
12,0,25,0.14060632572200182,0.37892916490735906,0.550291051523839,0.2554402417397635
13,0,27,0.1410598337458832,0.37921210645681896,0.550049489584866,0.2552479558756839
14,0,29,0.14173881578346179,0.379391601370677,0.5506317300385878,0.2559712387566814
15,0,31,0.1424686266005085,0.3795346113564188,0.5508954790132278,0.2558467595207478
16,0,33,0.14263256724879267,0.37970384137675933,0.5520946423816234,0.25617222732574757
17,0,35,0.14299749674937862,0.3800265048458182,0.552516921998027,0.2565413175985289
18,0,37,0.14308559107280625,0.38013430361463474,0.5526438977713517,0.2558376309597749
19,0,39,0.1441261430460221,0.3802882551629346,0.5525355433500697,0.2565077762782045
20,0,41,0.144929274655421,0.38052235091449554,0.5524087302592346,0.2569212498417514
21,0,43,0.1448765612541929,0.38067712863315056,0.5524087302592346,0.2582877252315739
22,0,45,0.14553421836086658,0.3809323426431467,0.5524087302592346,0.25865371183655456
23,0,47,0.14613275642308565,0.38108721369347637,0.5531036710203676,0.259375503238234
24,0,49,0.1460196330585651,0.38119477728260664,0.5542561552446588,0.26032404173791485
25,0,51,0.1464656050149124,0.3811572611160167,0.5537572031630305,0.25988081204814223
26,0,53,0.14671063192172534,0.38122206601543995,0.5531690047028093,0.259246625832254
27,0,55,0.1470982071330965,0.3812076154302994,0.553242323499886,0.2600902399272429
28,0,57,0.1469184590723238,0.3811404736865237,0.552905299936055,0.25967859104209695
29,0,59,0.14744503535348,0.3812253304168159,0.552385955075384,0.2593800273168359
30,0,61,0.14763228510433613,0.3811985625051884,0.5511320913258977,0.2603196765739319
31,0,63,0.14762583173317867,0.3811899587016653,0.5505727884896687,0.26034129990557536
32,0,65,0.14805142782194247,0.3811177462112741,0.5507199426801235,0.2602568348283539
33,0,67,0.14824960940090962,0.3811094274331342,0.5519142635924114,0.2598400035864898
34,0,69,0.14833400157226068,0.38112788399873093,0.5510667408216883,0.2601779161063734
35,0,71,0.14977584358521004,0.38103832171549806,0.5510667408216883,0.2597893739200561
36,0,73,0.1497033718949366,0.38106412199530404,0.5497653715163143,0.2601327859053732
37,0,75,0.15058589266557698,0.38098829918064686,0.5486098670695005,0.26040854370963146
38,0,77,0.15132158886338146,0.38096780975555655,0.5479955392030134,0.2608778700496743
39,0,79,0.1509805477772229,0.38093782828167516,0.5474573990756739,0.26088010394459377
40,0,81,0.15121739321497074,0.3809902198696137,0.5472723448595137,0.2608972475805582
41,0,83,0.15147158926951448,0.3811209180545602,0.5472723448595137,0.2606879565524858
42,0,85,0.15128325241082136,0.38118135086429383,0.5463170202902937,0.26059959003429295
43,0,87,0.1516481837570098,0.3810260746313832,0.5463170202902937,0.2606085153482226
44,0,89,0.15247048508566424,0.38111538657993765,0.5456038611335192,0.26145549604485574
45,0,91,0.15203607566911634,0.38124939782747624,0.5454207776608653,0.26121093894057784
